"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"quitar gotele",440,450,390,390,"Province of Barcelona, Catalonia, Spain","0.79",100,19,-35,"CORPORATE_BLOG_POSTS, MEDIA_BLOGS","","Missing words in title","",210,210,320,320,210,210,260,320,390,320,320,210,"","","","","","","","","",590,720,590,480,480,590,480,480,480,590,480,720,720,590,590,590,480,590,590,590,590,590,720,"","","",880,720,720,590,880,880,590,880,880,880,880,880,"","","","","","",390,480,480,480,480,480,390,480,390,390,390,390,320,480,480,590,480,390,480,480,390,480,590,480,390,590,590,590,720,590,590,480,480,590,720,480,390,590,480,720,480,390,390,390,390,390,390,390
"quitar gotelé precio",150,150,130,130,"Province of Barcelona, Catalonia, Spain","1.03",95,,-39,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",210,210,260,260,210,260,140,170,140,210,170,170,110,170,210,260,170,260,260,170,170,260,210,210,210,260,210,260,320,260,170,170,170,210,260,170,170,210,170,210,170,170,140,170,110,140,140,110
"quitar estucado",130,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",170,140,110,90,140,140,110,140,90,110,140,140,140,110,110,90,90,110,140,110,110,110,110,"","","",140,110,90,140,170,170,110,170,110,140,140,110,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar estucado pared",60,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",20,40,70,70,50,20,10,30,40,50,20,50,50,40,40,50,70,70,30,40,30,40,50,"","","",90,70,30,70,40,50,50,50,40,70,90,70,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eliminar gotele",30,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,30,30,20,20,20,20,20,20,20,30,20,30,20,20,50,90,30,30,30,20,30,30,"","","",30,30,30,30,30,40,20,30,40,50,30,30,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisar paredes gotele",30,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,30,10,10,20,20,20,10,20,20,40,40,20,20,30,40,30,20,30,30,40,20,"","","",40,40,30,40,40,40,30,70,50,40,20,30,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisar gotele",20,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,20,20,20,20,20,20,20,20,20,10,20,10,20,20,10,20,30,10,20,10,"","","",20,10,20,20,20,20,20,20,20,20,20,40,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pasta para quitar gotele precio",20,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",20,10,10,30,20,40,20,20,10,40,30,30,20,30,20,30,20,30,20,20,10,10,20,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele barcelona",20,20,30,20,"Province of Barcelona, Catalonia, Spain","3.13",70,,0,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,30,110,90,40,50,10,10,50,50,70,30,30,50,40,40,40,30,20,20,20,50,30,10,10,20,20,20,10,10,40,20,40,30,30,20
"alisar pared con cemento",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",,,-67,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",0,0,0,10,10,10,10,10,10,10,0,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,0,0
"pintura para alisar paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"como eliminar el estucado",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,0,0,0,0,0,0,0,10,0,10,0,10,10,0,0,0,0,0,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"como quitar el gotele tu mismo",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"emplaste para quitar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,0,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cuanto cuesta quitar gotele y alisar paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,10,10,10,10,0,10,0,0,10,0,0,10,0,0,0,10,10,0,10,0,10,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"como alisar paredes de gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",20,10,30,10,10,10,20,20,10,10,10,30,20,10,20,30,10,10,20,10,10,20,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"como se quita el estucado",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,0,0,10,0,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele pintura plastica encima",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pintura quitar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,20,10,10,10,10,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotelé o cubrirlo",10,10,,,"Province of Barcelona, Catalonia, Spain","",,,0,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",0,0,10,0,0,0,0,0,10,0,10,0,10,0,0,10,0,10,0,0,0,0,10,0,10,0,0,0,10,10,10,10,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0
"precio de quitar gotele y alisar paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,10,10,10,10,"","","",10,10,10,10,10,10,10,10,10,10,0,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rascar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,"","","",10,10,10,10,10,10,10,10,10,10,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gotele al temple",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"","","",10,10,10,10,0,10,10,10,10,10,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"eliminar gotele plastico",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,0,10,10,0,0,0,10,0,0,10,0,10,10,10,10,0,0,0,10,0,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisar paredes barato",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",,,100,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,10,0,0,10,0
"alisar paredes estucadas",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",100,,50,"","","","",,,,,,,,,,,,,"","","","","","","","","",20,30,10,30,10,20,30,20,30,10,10,10,10,10,10,10,10,10,0,10,10,10,20,"","","",20,20,20,10,10,10,10,10,10,10,10,10,"","","","","","",10,10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,10,10,10,10,10,10,10,10,10,10,10
"alisar pared exterior",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",29,,0,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"","","",,,,,,,,,,,,,"","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,0,10,10,10,10,10,10,10,10,10,10,10,10,10
"quitar gotele temple",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"","","",10,10,10,10,10,10,10,10,10,10,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele en madrid",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",100,,-33,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,0,10,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,"","","",,,,,,,,,,,,,"","","","","","",10,0,0,10,10,10,10,10,10,0,0,0,0,10,0,10,0,10,0,0,0,0,10,0,10,0,0,0,10,0,10,10,10,10,10,0,0,10,0,10,10,10,10,10,10,0,10,10
"retirar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,"","","",10,10,10,10,10,10,10,10,10,10,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisar paredes facil",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",100,,-33,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",0,10,0,10,0,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10
"quitar gotelé temple",10,10,20,10,"Province of Barcelona, Catalonia, Spain","0.80",100,,67,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,20,20,10,20
"quitar el gotele tu mismo",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,0,0,0,0,10,10,0,0,10,0,0,0,10,10,0,0,0,0,0,10,10,10,"","","",0,0,0,10,10,10,0,10,10,0,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisar techo gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,0,0,10,0,0,0,0,10,10,0,0,10,10,0,0,0,0,0,10,10,0,0,"","","",0,0,0,10,10,0,10,0,10,10,0,0,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"precio de alisar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"precio de quitar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"","","",10,10,10,10,10,10,10,10,10,20,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisado keratina barcelona precio",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","10","10","10","10","10","10",10,10,10,10,10,10,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,"0","0","10",10,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele paredes precio",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,10,10,10,0,0,0,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"como quitar estucado de las paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,0,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"como disimular el gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"que cuesta quitar el gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,0,0,0,10,0,10,10,10,10,10,0,10,10,10,0,10,0,0,0,0,0,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar la gota de las paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,"","","",10,0,0,10,0,0,10,0,0,10,0,0,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar el gotele de las paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele y alisar paredes precio",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,10,10,10,0,0,0,0,0,10,0,0,10,10,10,10,0,10,10,10,0,0,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele de una pared",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",89,,0,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
"para quitar gotele",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",0,10,0,0,0,10,10,0,10,0,0,10,10,0,10,0,10,10,0,10,0,0,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alisar pared despues de quitar azulejos",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",0,,-33,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10
"quitar gotele con agua",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",30,10,10,10,10,20,10,10,10,10,10,10,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quitar gotele bilbao",10,10,10,,"Province of Barcelona, Catalonia, Spain","",,,100,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0
"quitar gotelé pared precio",10,10,10,10,"Province of Barcelona, Catalonia, Spain","",86,,-67,"","","","",,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,"","","","","","",10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,0,0,10
"quitar gotele paredes",10,,,,"Province of Barcelona, Catalonia, Spain","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","",10,10,10,10,10,10,10,10,10,20,10,10,10,20,20,20,20,20,10,30,10,30,10,"","","",,,,,,,,,,,,,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
